PL_Rank,Player,Position,PL_Tier,PL_Tier_Name,Tags,PL_Note
203,Marcelo Mayer,3B,18,Speculative3,"INJURY_RISK,STASH",Hard contact in brief sample; whiff vs breakers; wrist injury concern; BOS 3B
204,Evan Carter,OF,18,Speculative3,"INJURY_RISK,SPEED_VALUE",25-30 SB in 150 G pace; injury devastating career; speed-only ceiling
205,Jorge Soler,OF,18,Speculative3,"AGING,INJURY_RISK",20 HR upside; LAA buried; injury risk; misses months; deep only
206,Jordan Walker,OF,18,Speculative3,SLEEPER,Driveline work; elite bat speed (99th pct); too many grounders to fix yet
207,Zach McKinstry,3B,18,Speculative3,MULTI_POS,10 HR / 15 SB / .250 BA; career-high everything 2025; 1H >> 2H; DET utility
208,Brett Baty,2B,18,Speculative3,"MULTI_POS,ADP_VALUE",50%+ GB; peripherals excellent; 120 G ceiling needed; Nate likes the flier
209,Isaac Collins,OF,18,Speculative3,SPEED_VALUE,122 wRC+ June-Aug; awful Apr/May/Sep; KCR role; 10 HR / 15 SB if starter
210,Dillon Dingler,C,19,Deep2,BOUNCE_BACK,28.2% LD rate won't repeat; 10 HR / 50 RBI; K rate improvement real
211,Edgar Quero,C,19,Deep2,POINTS_VALUE,More hit tool than power; Driveline launch angle work; CHW debut solid
212,Tyler Stephenson,C,19,Deep2,"BUST,INJURY_RISK",33.8% K rate in 2025; 15 HR / 50 RBI if healthy; eroded contact ability
213,Logan O'Hoppe,C,19,Deep2,BUST,14 HR in 43 G peak; 33.3% K / 4.3% BB sank him; 36 wRC+ post-May 23
214,Connor Norby,3B,19,Deep2,"PLATOON,INJURY_RISK",15 HR / 10 SB in 88 G; vs LHP limits ceiling; improved plate discipline sticky
215,Andrew Benintendi,OF,19,Deep2,INJURY_RISK,15-17 HR / .250 BA; injury likely; floor decent when healthy; CHW
216,Bryce Eldridge,DH,19,Deep2,"SLEEPER,POWER_OBP",6'7 power; 30.8% K in Triple-A; SFG DH platoon; 20-25 HR if K manageable
217,Jake Cronenworth,1B,19,Deep2,"OBP_VALUE,MULTI_POS,POINTS_VALUE",500+ PA every full season; low K; OBP value; bottom-order SDP; 1B/2B/SS
218,Moisés Ballesteros,DH,19,Deep2,POINTS_VALUE,143 wRC+ debut; 15 HR ceiling; .260 BA; DH only; points league bump
219,Tyler O'Neill,OF,19,Deep2,"INJURY_RISK,BUST",Plus power + speed; deep slumps + injury history; volatile lottery ticket BAL
220,Nick Gonzales,2B,19,Deep2,INJURY_RISK,Better MLB K rate than expected; .265 ceiling; SS eligibility coming; 2 injuries
221,Bo Naylor,C,19,Deep2,"POWER_OBP,BUST",14 HR career high; extreme fly-ball; .205 BA; volume if ratios tolerable
222,Victor Scott II,OF,19,Deep2,"SPEED_VALUE,BUST",30+ SB pace; severe negative everywhere else; speed-only specialist STL
223,Jonathan India,2B,19,Deep2,MULTI_POS,10-12 HR / 10 SB; fences moving in helps; 130+ G if healthy; 2B/3B/OF
224,Trevor Larnach,OF,19,Deep2,PLATOON,~.250/.330/.420 vs RHP; 15 HR; MIN platoon; honest work floor
225,Lane Thomas,OF,19,Deep2,INJURY_RISK,15-15 ceiling; K rate rising; IL stints 2 of last 3 seasons; KCR
226,Owen Caissie,OF,19,Deep2,"SLEEPER,PLATOON",28-30% K projects to higher in MLB; 15+ HR if stays; MIA platoon start
227,Wenceel Pérez,OF,19,Deep2,DEEP_LEAGUE,~.240 BA / some pop+speed; 30-40 G missed; DET moderate floor
228,Ke'Bryan Hayes,3B,19,Deep2,DEEP_LEAGUE,Good defender + volume; 10-12 SB; low power via high GB; CIN
229,Ryan McMahon,3B,19,Deep2,"PLATOON,BUST",5-year 150 G / 20 HR streak in jeopardy; NYY can't hit LHP; .210 BA path
230,Parker Meadows,OF,19,Deep2,"INJURY_RISK,SPEED_VALUE",15 HR / 15 SB ceiling; injury + inconsistency DET; platoon limits upside
231,Vaughn Grissom,2B,19,Deep2,DEEP_LEAGUE,10 HR / 8-10 SB / .250 BA; LAA competing with Moore; Moore likely wins job
232,Dominic Canzone,OF,19,Deep2,"PLATOON,ADP_VALUE",.300/.358/.481 in 82 G; Refsnyder platoon limits to DH role; streaming
233,Victor Robles,OF,19,Deep2,"SPEED_VALUE,PLATOON",~.300 BA / 30 SB when healthy; 32 G only in 2025; small side of platoon SEA
234,Carson Kelly,C,19,Deep2,DEEP_LEAGUE,7 HR in 17 G peak; 12 HR / .240 BA season-long; .340 OBP; CHC 2C value
235,Carter Jensen,C,19,Deep2,SLEEPER,166 wRC+ in Triple-A; 20 HR / 10 SB upside per Nate; 100 G behind Perez
236,Victor Caratini,C,19,Deep2,DEEP_LEAGUE,~.260 BA / 10 HR / 90-110 G rotation with Jeffers; OBP value floor
237,Luisangel Acuña,2B,20,Speculative4,SPEED_VALUE,20 SB / 5 HR / .260 BA if 100 G; CHW middle infield competition tough
238,Coby Mayo,1B,20,Speculative4,"SLEEPER,INJURY_RISK",25 HR upside if breaker issues fix; Westburg IL opens 3B window April+
239,Carson Williams,SS,20,Speculative4,BUST,20 HR / 30 SB ceiling; 41.5% K rate in debut; glove keeps him on roster
240,Aidan Miller,SS,20,Speculative4,"STASH,SPEED_VALUE",30 SB / 10 HR; Turner blocks; monitor for opportunity; PHI top prospect
241,Max Clark,OF,20,Speculative4,"STASH,SPEED_VALUE",Elite plate discipline; DET leadoff solution; late-season call expected; love the swagger
242,Josh Smith,1B,20,Speculative4,MULTI_POS,~120 G / 10 HR / 10 SB / .250 BA; TEX utility; 1B/3B/SS eligible
243,Nolan Arenado,3B,20,Speculative4,"AGING,DEEP_LEAGUE",Clear path to 140 G; 15-17 HR / 60-70 RBI; shell-of-himself concern in 2025
244,Ha-Seong Kim,SS,20,Speculative4,"INJURY_RISK,SPEED_VALUE",Summer return; 20 SB / .240 BA pro-rated; ATL lineup context interesting
245,Kristian Campbell,2B,20,Speculative4,STASH,Top-10 prospect pedigree; corner OF conversion; path to PT blocked; monitor
246,Mauricio Dubón,2B,20,Speculative4,MULTI_POS,Kim placeholder ATL; ~.260 BA / low power; everyday until Kim return
247,Lourdes Gurriel Jr.,OF,20,Speculative4,INJURED,ACL tear Sept; late summer return at earliest; watchlist only; 3 straight 18+ HR
248,Walker Jenkins,OF,20,Speculative4,STASH,Hit tool strong; power developing; MN LH corner track record poor
249,Travis Bazzana,2B,20,Speculative4,"SPEED_VALUE,OBP_VALUE",Elite plate discipline + speed; modest power; CLE needs offense
250,Sean Murphy,C,20,Speculative4,"INJURY_RISK,BOUNCE_BACK",May return; .200 BA risk; primary role when healthy; ATL DH
251,Triston Casas,1B,20,Speculative4,"BUST,INJURY_RISK",87.6 mph exit velo collapse; knee injury; BoSox depth challenge; barely 26
252,Sung-Mun Song,3B,20,Speculative4,MULTI_POS,KBO import; ~15 HR equivalent; speed + hit tool; SDP part-time watch
253,Lenyn Sosa,1B,20,Speculative4,DEEP_LEAGUE,~100 G / 10-12 HR / .250 BA; CHW utility role infield
254,Jake McCarthy,OF,20,Speculative4,"SPEED_VALUE,PLATOON",Speed + hit tool; Rockies streaming when home; platoon risk COL
255,Gavin Lux,2B,20,Speculative4,POINTS_VALUE,~.250-.260 / TBR leadoff possibility; 5 HR only in 140 G; low power/speed
256,Denzel Clarke,OF,20,Speculative4,SPEED_VALUE,20-25 SB / 10-12 HR; ATH CF starter; K rate concern; bandbox helps
257,Romy Gonzalez,1B,20,Speculative4,SLEEPER,.305 BA / .483 SLG in 96 G; 9 HR; BoSox role unclear; watchlist; Durbin blocks
258,Nasim Nuñez,SS,20,Speculative4,"SPEED_VALUE,BUST",30 SB in 100-120 G; major negative everywhere else; WSN leadoff candidate
259,Miguel Andujar,3B,20,Speculative4,"STREAMER,MULTI_POS",~100-110 G / .270 BA / 10-12 HR; 7 HR .970 OPS 2H; SDP platoon DH
260,Tyler Freeman,OF,20,Speculative4,POINTS_VALUE,~.275-.280 BA / 15 SB / no power; COL; points only value
261,Jordan Lawlar,3B,21,Reserve3,"INJURY_RISK,STASH",Ex top prospect; 0 HR / .165 in 108 MLB PA; ARI blocked; dart throw
262,Carson Benge,OF,21,Reserve3,"OBP_VALUE,PLATOON",Solid discipline; 92.1 mph avg exit velo; 12-15 HR part-time; NYM corner
263,Kody Clemens,1B,21,Reserve3,"PLATOON,MULTI_POS",19 HR vs RHP in 119 G; .213 BA; MIN platoon utility; all 19 HR vs RHP
264,Blaze Alexander,2B,21,Reserve3,"DEEP_LEAGUE,MULTI_POS",Full-time until Holliday ready; BAL bridge; 2B+3B eligible; no upside
265,Joc Pederson,DH,21,Reserve3,"AGING,PLATOON",~15 HR vs RHP; TEX DH; streamer vs soft righties; McCutchen doesn't change it
266,Brayan Rocchio,2B,21,Reserve3,DEEP_LEAGUE,~.235 BA / 500+ PA / 10 HR; CLE volume up middle; poor OBP
267,Brooks Baldwin,2B,21,Reserve3,"MULTI_POS,DEEP_LEAGUE",Switch hit utility; ~90-100 G CHW; eligible everywhere; Acuña competition
268,Ryan Waldschmidt,OF,21,Reserve3,"SLEEPER,OBP_VALUE",142 wRC+ in 3 levels; .289/.419/.473; 18 HR / 29 SB; ARI path opening
269,Hyeseong Kim,2B,21,Reserve3,"SPEED_VALUE,PLATOON",.280 / 13 SB in 71 G; 30.6% K climbed as season went; Edman injury helps LAD
270,Jake Meyers,OF,21,Reserve3,"SPEED_VALUE,DEEP_LEAGUE",12-15 SB part-time; decent discipline; HOU; AL-only value
271,Zach Cole,OF,21,Reserve3,"SLEEPER,BUST",MiLB .279/.377/.539; 35%+ K in MLB; 15 HR / 15 SB if sustained; HOU
272,Gabriel Arias,2B,21,Reserve3,"DEEP_LEAGUE,MULTI_POS",100-110 G CLE; 10+ HR; 30%+ K; terrible ratios; utility eligible
273,Jhostynxon Garcia,OF,21,Reserve3,"SLEEPER,PLATOON",20+ HR each of last 2 MiLB seasons; PIT platoon; zone contact issues
274,Jake Fraley,OF,21,Reserve3,"PLATOON,OBP_VALUE",Career .776 OPS vs RHP; TBR platoon; streamable vs soft righties
275,Tommy Edman,2B,21,Reserve3,"MULTI_POS,INJURY_RISK",13 HR in 97 G; LAD everyday when healthy; misses Opening Day; 2B/3B/OF
276,Christian Moore,2B,21,Reserve3,"SPEED_VALUE,BUST",10 HR / 10 SB upside; 72.8% zone contact in MLB is scary; LAA
277,Freddy Fermin,C,21,Reserve3,DEEP_LEAGUE,~.250 / 7-9 HR; volume at C; outperforms expected avg; SDP 2C value
278,Joey Bart,C,21,Reserve3,DEEP_LEAGUE,8-9 HR / 80-90 G; 12% walk rate; 4 HR .340 SLG in 93 G disappointing
279,Danny Jansen,C,21,Reserve3,DEEP_LEAGUE,~.210 BA / 13 HR / 90 G; TEX; career-high K rate concern; Higashioka threat
280,Kyle Higashioka,C,21,Reserve3,DEEP_LEAGUE,5th straight 10+ HR; limited TEX role; 17 HR in 2024 shows ceiling
281,Troy Johnston,1B,21,Reserve3,DEEP_LEAGUE,~.277 BA / 4 HR in 121 PA; COL move; Coors streaming upside if starter
282,Anthony Santander,OF,21,Reserve3,"INJURY_RISK,BUST",3 strong Orioles seasons then huge dud; misses months; TOR; top-60 if healthy
283,Casey Schmitt,1B,21,Reserve3,DEEP_LEAGUE,50 PA hot streak (4 HR .667 SLG); rest of season .376 SLG; SFG utility
284,Joshua Baez,OF,21,Reserve3,"STASH,SPEED_VALUE",54 SB / 20 HR across HA-AA; .287 BA / double-digit walk rate; STL OF depth
285,C.J. Kayfus,OF,21,Reserve3,DEEP_LEAGUE,15 HR / .235 BA in 90-120 G; CLE path blocked; unclear role vs LHB
286,Jasson Domínguez,OF,21,Reserve3,"SLEEPER,INJURY_RISK",20 HR / 25 SB ceiling everyday; Grichuk addition + poor path likely starts MiLB
287,Nathan Lukes,OF,21,Reserve3,"PLATOON,POINTS_VALUE",~.250-.260 / low K; TOR platoon vs RHP; stream vs bad righties only
288,Jacob Melton,OF,21,Reserve3,SLEEPER,56.1% hard-hit Triple-A; TBR depth blocks; pull to unlock power in majors
289,Edouard Julien,1B,21,Reserve3,"OBP_VALUE,MULTI_POS",Patient to fault; COL may help contact issues; 2B eligible; watchlist
290,Brady House,3B,21,Reserve3,DEEP_LEAGUE,46.3% hard-hit but poor plate discipline; 15 HR / 60 RBI ceiling; WSN volume
291,Keibert Ruiz,C,21,Reserve3,DEEP_LEAGUE,~.250-.260 BA / sub-10 HR; nearly never walks; WSN C volume
292,Joey Loperfido,OF,21,Reserve3,"PLATOON,DEEP_LEAGUE",Platoon bat vs RHP; .210 BABIP won't repeat; HOU; watchlist only
293,Garrett Mitchell,OF,21,Reserve3,"INJURY_RISK,BUST",10 HR / 15 SB ceiling; 3 straight seasons with significant IL time; MIL
294,Jake Bauers,1B,21,Reserve3,"OBP_VALUE,MULTI_POS",Elite walk rate; 80-90 G MIL; OBP value in deep leagues; 1B+OF eligible
295,Javier Báez,2B,21,Reserve3,"AGING,MULTI_POS",Best BA since 2021 (.257); 10 HR; 4-position eligible DET; not cooked yet
296,Luis Rengifo,2B,21,Reserve3,"SPEED_VALUE,DEEP_LEAGUE",MIL starter finally; low walk + bad GBs; SB only value; likely loses job fast
297,Dominic Smith,1B,21,Reserve3,DEEP_LEAGUE,Platoon DH vs RHP ATL; pop + patience + nothing else; watchlist
298,Spencer Jones,OF,21,Reserve3,"STASH,POWER_OBP",6'7 power; 35.4% K in high minors; NYY depth blocks; Judge comp lazy
299,George Valera,OF,21,Reserve3,"DEEP_LEAGUE,PLATOON",K risk; walks enough for platoon bat; CLE 2nd hitter possibility
300,Nick Castellanos,OF,21,Reserve3,"AGING,DEEP_LEAGUE",SDP bench role; needs multiple injuries ahead of him; last 12-team ranking
